title,price,link_item,index_,Discount,countReviews,Brand,Store
Điện thoại di động Redmi 13C 6GB/128GB - Chính hãng,2.990.000 ₫,https://www.lazada.vn/products/dien-thoai-di-dong-redmi-13c-6gb128gb-chinh-hang-i2484389320.html,1,14% Off,"(1)
Hồ Chí Minh",,
Apple iPhone 15 Pro Max 256GB Chính hãng VN/A [Viettel Store],34.490.000 ₫,https://www.lazada.vn/products/apple-iphone-15-pro-max-256gb-chinh-hang-vna-viettel-store-i2416609251.html,2,4% Off,"53 Đã bán
(7)
Hà Nội",,
"Điện thoại Vivo Y91 giá rẻ kiểu dáng nhỏ gọn RAM 3GB bộ nhớ 32GB dùng nghe gọi, xem phim mượt (tặng kèm ốp lưng, bộ sạc)",950.000 ₫,https://www.lazada.vn/products/dien-thoai-vivo-y91-gia-re-kieu-dang-nho-gon-ram-3gb-bo-nho-32gb-dung-nghe-goi-xem-phim-muot-tang-kem-op-lung-bo-sac-i2466982395.html,3,34% Off,Hồ Chí Minh,,
"Điện thoại OPPO A55s 5G 4GB/64GB Chip Snap 480,Màn 90HZ,Chống Nước IP68, Sạc Nhanh 18W , Mới nguyên seal 100% - Hàng Nhập Khẩu - Bản quốc tế",2.799.000 ₫,https://www.lazada.vn/products/dien-thoai-oppo-a55s-5g-4gb64gb-chip-snap-480man-90hzchong-nuoc-ip68-sac-nhanh-18w-moi-nguyen-seal-100-hang-nhap-khau-ban-quoc-te-i1911840912.html,4,24% Off,"26 Đã bán
(9)
Nghệ An",,
"Điện Thoại Oppo Reno10 5G (8GB-256GB)- Hàng Chính Hãng, Mới 100%, Bảo Hành 12 Tháng",9.790.000 ₫,https://www.lazada.vn/products/dien-thoai-oppo-reno10-5g-8gb-256gb-hang-chinh-hang-moi-100-bao-hanh-12-thang-i2412591072.html,5,11% Off,"7 Đã bán
(2)
Hồ Chí Minh",,
Voucher Sở hữu Điện Thoại Apple lPhone 13 Pro Max 512Gb - Số lượng có hạn -,26.000 ₫,https://www.lazada.vn/products/voucher-so-huu-dien-thoai-apple-lphone-13-pro-max-512gb-so-luong-co-han-i2508092977.html,6,48% Off,"75 Đã bán
(33)
Hồ Chí Minh",,
Điện thoại Tecno POVA 5 (8+8)/256GB - MediaTek G99 - Sạc nhanh 45W - 6.8'' FHD+ Tần số quét 120HZ - Hàng Chính Hãng - Bảo hành 13 Tháng,5.290.000 ₫,https://www.lazada.vn/products/dien-thoai-tecno-pova-5-88256gb-mediatek-g99-sac-nhanh-45w-68-fhd-tan-so-quet-120hz-hang-chinh-hang-bao-hanh-13-thang-i2348103462.html,7,,"103 Đã bán
(53)
Hồ Chí Minh",,
"Điện Thoại Xiaomi Redmi Note 12s (8GB-256GB)-Hàng Chính Hãng, Mới 100% | Bảo hành 18 tháng",5.690.000 ₫,https://www.lazada.vn/products/dien-thoai-xiaomi-redmi-note-12s-8gb-256gb-hang-chinh-hang-moi-100-bao-hanh-18-thang-i2293368202.html,8,15% Off,"328 Đã bán
(47)
Hồ Chí Minh",,
[Nhập RS0822 giảm 30k cho đơn 99k]Điện thoại OPPO A95 (8/128),6.790.000 ₫,https://www.lazada.vn/products/nhap-rs0822-giam-30k-cho-don-99kdien-thoai-oppo-a95-8128-i1913248526.html,9,,Hà Nam,,
Điện thoại POCO M5 4GB+64GB/6GB+128GB | Pin 5000mAh | MediaTek Helio G99 | Sạc nhanh 18W,4.690.000 ₫,https://www.lazada.vn/products/dien-thoai-poco-m5-4gb64gb6gb128gb-pin-5000mah-mediatek-helio-g99-sac-nhanh-18w-i2006367294.html,10,,"4,753 Đã bán
(972)
Hồ Chí Minh",,
