,title,price,link_item,index,discount,sales,brand
10,Điện Thoại Masstel Fami 12- Hàng Chính Hãng,539.100₫,https://tiki.vn/dien-thoai-masstel-fami-12-hang-chinh-hang-p249287176.html?spid=249287179,11,-10%,Đã bán 2,Masstel
11,Điện thoại Masstel IZI 11 4G - Hàng chính hãng,468.000₫,https://tiki.vn/dien-thoai-masstel-izi-11-4g-hang-chinh-hang-p191636459.html?spid=261810480,12,-23%,,Masstel
12,Điện thoại Masstel izi 12 4G - Hàng chính hãng,10.000.000₫,https://tiki.vn/dien-thoai-masstel-izi-12-4g-p172920927.html?spid=261810407,13,-10%,,Masstel
13,"Điện thoại Masstel FAMI 60 4G ,Pin 2000 mah ,cỡ chữ to rõ ràng,âm thanh lớn,màn hình to- Hàng chính hãng",730.000₫,https://tiki.vn/dien-thoai-masstel-fami-60-4g-pin-2000-mah-co-chu-to-ro-rang-am-thanh-lon-man-hinh-to-hang-chinh-hang-p171852890.html?spid=261810357,14,-14%,,Masstel
14,Điện thoại hiệu Masstel Fami 60 - Hàng chính hãng - Giá rẻ - hỗ trợ 4G - dành cho người lớn tuổi,629.100₫,https://tiki.vn/dien-thoai-hieu-masstel-fami-60-hang-chinh-hang-gia-re-ho-tro-4g-danh-cho-nguoi-lon-tuoi-p252073013.html?spid=252073019,15,-5%,Đã bán 1,Masstel
15,Điện thoại di động Masstel Izi 30 (new) - Hàng chính hãng,539.100₫,https://tiki.vn/dien-thoai-di-dong-masstel-izi-30-new-hang-chinh-hang-p263117493.html?spid=263117501,16,-26%,Đã bán 1,Masstel
16,"Điện Thoại Người Già Masstel Fami 60 4G - Loa To, FM Không Dây, Đọc Số Bằng Giọng Nói, SOS, Đèn Pin Kép,... Hàng Chính Hãng",679.000₫,https://tiki.vn/dien-thoai-nguoi-gia-masstel-fami-60-4g-loa-to-fm-khong-day-doc-so-bang-giong-noi-sos-den-pin-kep-p170448099.html?spid=273562389,17,-31%,Đã bán 31,Masstel
17,Điện Thoại Masstel Lux 10 4G - Hàng Chính Hãng,675.000₫,https://tiki.vn/dien-thoai-masstel-lux-10-4g-hang-chinh-hang-p248185228.html?spid=261810547,18,,,Masstel
18,ĐIỆN THOẠI MASSTEL LUX 20-4G HÀNG CHÍNH HÃNG,750.000₫,https://tiki.vn/dien-thoai-masstel-lux-20-4g-hang-chinh-hang-p197045354.html?spid=197045358,19,,,Masstel
19,Điện thoại Masstel izi 26 - Hàng chính hãng,600.000₫,https://tiki.vn/dien-thoai-masstel-izi-26-hang-chinh-hang-p224873580.html?spid=261810346,20,,,Masstel
20,Điện thoại Masstel izi S2 - Hàng chính hãng,584.100₫,https://tiki.vn/dien-thoai-masstel-izi-s2-hang-chinh-hang-p272834045.html?spid=272834049,21,,,Masstel
21,Điện Thoại Cho Người Già Masstel Fami 12 4G-hỗ trợ 4g-chữ to dành cho người già(Hàng Chính Hãng),630.000₫,https://tiki.vn/dien-thoai-cho-nguoi-gia-masstel-fami-12-4g-ho-tro-4g-chu-to-danh-cho-nguoi-gia-hang-chinh-hang-p196176544.html?spid=261810394,22,,,Masstel
22,Điện Thoại Dành Cho Người Già Masstel Fami 12 Phiên bản mới hỗ trợ đèn Pin siêu sáng- Hàng Chính Hãng - Màu đen,630.000₫,https://tiki.vn/dien-thoai-danh-cho-nguoi-gia-masstel-fami-12-phien-ban-moi-ho-tro-den-pin-sieu-sang-hang-chinh-hang-mau-den-p91836155.html?spid=261810438,23,,,Masstel
23,"Điện Thoại Cho Người Già Masstel Fami 12 4G - Viền Kim Loại, Ăng Ten FM Không Dây - Hàng Chính Hãng",600.000₫,https://tiki.vn/dien-thoai-cho-nguoi-gia-masstel-fami-12-4g-vien-kim-loai-ang-ten-fm-khong-day-p174085242.html?spid=174085254,24,,Đã bán 12,Masstel
24,"Điện thoại Masstel Lux 20 4G dành cho người lớn tuổi - Hàng chính hãng, Nguyên Seal",790.000₫,https://tiki.vn/dien-thoai-masstel-lux-20-4g-danh-cho-nguoi-lon-tuoi-hang-chinh-hang-nguyen-seal-p197902452.html?spid=261810491,25,,,Masstel
25,Điện Thoại Masstel IZI 55 4G LTE - 2 Sim 2 Sóng - Pin 1800 mAh - Hàng Chính Hãng - Bảo Hành 12 Tháng,659.000₫,https://tiki.vn/dien-thoai-masstel-izi-55-4g-lte-2-sim-2-song-pin-1800-mah-hang-chinh-hang-bao-hanh-12-thang-p249730339.html?spid=249730340,26,,,Masstel
26,Điện thoại cơ bản phím nút hiệu Masstel LUX10 - Hàng chính hãng - Giá Rẻ,675.000₫,https://tiki.vn/dien-thoai-co-ban-phim-nut-hieu-masstel-lux10-hang-chinh-hang-gia-re-p252072962.html?spid=261810474,27,,,Masstel
27,"Điện Thoại Masstel Izi 20 4G - Loa To, Pin Trâu, 2 Sim 2 Sóng, Hỗ Trợ 4G VoLTE, Đèn Pin Sáng, Giá Rẻ - Hàng Chính Hãng",464.550₫,https://tiki.vn/dien-thoai-masstel-izi-20-4g-loa-to-pin-trau-2-sim-2-song-ho-tro-4g-volte-den-pin-sang-gia-re-p170449059.html?spid=273562413,28,,Đã bán 13,Masstel
28,Masstel izi 26 4G - Chữ to - Loa to - Hàng Chính Hãng,479.000₫,https://tiki.vn/masstel-izi-26-4g-chu-to-loa-to-chinh-hang-p195894801.html?spid=216132112,29,,Đã bán 8,Masstel
29,Điện thoại Masstel Fami 60 - Hàng chính hãng,730.000₫,https://tiki.vn/dien-thoai-masstel-fami-60-hang-chinh-hang-p223859345.html?spid=261810413,30,,,Masstel
30,"Điện thoại Masstel FAMI 60 4G - Hàng chính hãng, Nguyên Seal",689.000₫,https://tiki.vn/dien-thoai-masstel-fami-60-4g-hang-chinh-hang-nguyen-seal-p160051494.html?spid=250020410,31,,,Masstel
31,"Điện Thoại Cho Người Già Masstel Fami 65 - SOS, Loa To, FM Không Dây, Đọc Số Bằng Giọng Nói, Xem Lịch Âm - HÀNG CHÍNH HÃNG",685.000₫,https://tiki.vn/dien-thoai-cho-nguoi-gia-masstel-fami-65-sos-loa-to-fm-khong-day-doc-so-bang-giong-noi-xem-lich-am-chinh-hang-p271290719.html?spid=271290723,32,,Đã bán 1,Masstel
32,Điện Thoại 4G Masstel Lux 10 - 2 Sim 2 Sóng - Sóng 4G HD Call - Loa To Rõ - Pin Bền - Hàng Chính Hãng - Bảo Hành 12 Tháng,675.000₫,https://tiki.vn/dien-thoai-4g-masstel-lux-10-2-sim-2-song-song-4g-hd-call-loa-to-ro-pin-ben-bao-hanh-12-thang-p249851724.html?spid=261810485,33,,,Masstel
33,Điện thoại Masstel Lux 10 4G - Nhiều chức năng - Hàng chính hãng,675.000₫,https://tiki.vn/dien-thoai-masstel-lux-10-4g-nhieu-chuc-nang-hang-chinh-hang-p201001781.html?spid=261810505,34,,,Masstel
34,Điện Thoại Masstel Fami 60 4G LTE - Pin 2000 mAh - Chức Năng SOS - Hàng Chính Hãng - Bảo Hành 12 tháng,730.000₫,https://tiki.vn/dien-thoai-masstel-fami-60-4g-lte-pin-2000-mah-chuc-nang-sos-hang-chinh-hang-bao-hanh-12-thang-p249730336.html?spid=261810526,35,,,Masstel
35,Điện thoại Masstel IZI11 4G - Hàng Chính Hãng,468.000₫,https://tiki.vn/dien-thoai-masstel-izi-11-4g-hang-chinh-hang-bao-hanh-p252073075.html?spid=261810540,36,,,Masstel
36,Điện thoại Masstel IZI 12 4G LTE - 2 Sim 2 Sóng - Pin 1000 mAh - Loa to - Hàng Chính Hãng - Bảo Hành 12 Tháng,456.000₫,https://tiki.vn/dien-thoai-masstel-izi-12-4g-lte-2-sim-2-song-pin-1000-mah-loa-to-hang-chinh-hang-bao-hanh-12-thang-p249730344.html?spid=261810297,37,,,Masstel
37,Điện Thoại Masstel iZi 11 4G - Hàng Chính Hãng,468.000₫,https://tiki.vn/dien-thoai-masstel-izi-11-4g-hang-chinh-hang-p258766897.html?spid=261810549,38,,,Masstel
38,Điện Thoại 4G Masstel Lux 20 - 2 Sim 2 Sóng - Sóng 4G Hd Call - Loa To Rõ - Hàng Chính Hãng - Bảo Hành 12 Tháng,790.000₫,https://tiki.vn/dien-thoai-4g-masstel-lux-20-2-sim-2-song-song-4g-hd-call-loa-to-ro-hang-chinh-hang-bao-hanh-12-thang-p249730338.html?spid=261810556,39,,,Masstel
39,Điện Thoại Masstel Fami 12 4G LTE - 2 Sim- Pin 1400 mAh - Đọc số bằng giọng nói - Hàng Chính Hãng - Bảo Hành 12 Tháng,630.000₫,https://tiki.vn/dien-thoai-masstel-fami-12-4g-lte-2-sim-pin-1400-mah-doc-so-bang-giong-noi-hang-chinh-hang-bao-hanh-12-thang-p249730342.html?spid=261810382,40,,,Masstel
0,Điện Thoại Masstel iZi 26 4G - Hàng Chính Hãng,531.000₫,https://tiki.vn/dien-thoai-masstel-izi-26-4g-hang-chinh-hang-p248235765.html?spid=248235767,1,-17%,,Masstel
1,ĐIỆN THOẠI MASSTEL IZI 30 4G-LTE-HÀNG CHÍNH HÃNG,560.000₫,https://tiki.vn/dien-thoai-masstel-izi-30-4g-lte-hang-chinh-hang-p262688183.html?spid=262688184,2,,,Masstel
2,Điện Thoại Masstel Fami 12 4G - Hàng Chính Hãng,630.000₫,https://tiki.vn/dien-thoai-masstel-fami-12-4g-hang-chinh-hang-p248185860.html?spid=261809770,3,,,Masstel
3,Điện thoại Masstel IZI 55 4G - Hàng chính hãng,659.000₫,https://tiki.vn/dien-thoai-masstel-izi-55-4g-hang-chinh-hang-p153581568.html?spid=249603868,4,,,Masstel
4,"Điện thoại Masstel IZI 20 4G - Hàng chính hãng, Nguyên Seal",512.000₫,https://tiki.vn/dien-thoai-masstel-izi-20-4g-hang-chinh-hang-nguyen-seal-p160051501.html?spid=261810386,5,,,Masstel
5,ĐIỆN THOẠI MASSTEL IZI 55 4G-HÀNG CHÍNH HÃNG,650.000₫,https://tiki.vn/dien-thoai-masstel-izi-55-4g-hang-chinh-hang-p163875403.html?spid=163875404,6,,,Masstel
6,Điện Thoại Masstel Fami 12 4G LTE - 2 Sim- Pin 1400 mAh - Đọc số bằng giọng nói - Hàng Chính Hãng - Bảo Hành 12 Tháng,630.000₫,https://tiki.vn/dien-thoai-masstel-fami-12-4g-lte-2-sim-pin-1400-mah-doc-so-bang-giong-noi-hang-chinh-hang-bao-hanh-12-thang-p249734070.html?spid=261810486,7,,,Masstel
7,Điện thoại Masstel Fami 12 4G Dành cho người già - Hàng chính hãng,630.000₫,https://tiki.vn/dien-thoai-masstel-fami-12-4g-danh-cho-nguoi-gia-hang-chinh-hang-p201003623.html?spid=261076062,8,,,Masstel
8,Điện Thoại Masstel Izi 20 4G LTE - 2 sim -Pin 1700 mAh - Loa To - Camera 0.08 MP - Hàng Chính Hãng - Bảo Hành 12 Tháng,512.000₫,https://tiki.vn/dien-thoai-masstel-izi-20-4g-lte-2-sim-pin-1700-mah-loa-to-camera-0-08-mp-hang-chinh-hang-bao-hanh-12-thang-p249730334.html?spid=261810338,9,,,Masstel
0,Điện thoại Mobell M239 4G - 2 SIM - Hàng chính hãng,439.000₫,https://tiki.vn/dien-thoai-mobell-m239-4g-2-sim-hang-chinh-hang-p200829966.html?spid=200829984,1,-12%,Đã bán 19,Mobell
1,"Điện thoại Mobell Rock 4 4G , Pin 3250mah , Loa Siêu lớn - Hàng chính hãng",699.000₫,https://tiki.vn/dien-thoai-mobell-rock-4-4g-pin-3250mah-loa-sieu-lon-hang-chinh-hang-p200819471.html?spid=200819481,2,-13%,Đã bán 26,Mobell
2,Điện thoại Mobell M239 - Hàng chính hãng,396.018₫,https://tiki.vn/dien-thoai-co-ban-danh-cho-nguoi-cao-tuoi-hieu-mobell-m239-hang-chinh-hang-gia-re-mau-sac-da-dang-do-xanh-den-p252073056.html?spid=252675796,3,-2%,Đã bán 1,Mobell
3,Điện thoại di động Mobell M331 - Hàng chính hãng,521.550₫,https://tiki.vn/dien-thoai-di-dong-mobell-m331-hang-chinh-hang-p270976558.html?spid=270976564,4,-5%,,Mobell
4,"Điện thoại Mobell F209 4G ,Loa to, Phím lớn - Hàng chính hãng",569.000₫,https://tiki.vn/dien-thoai-mobell-f209-4g-loa-to-phim-lon-hang-chinh-hang-p217276360.html?spid=217276362,5,-15%,Đã bán 5,Mobell
0,Điện Thoại Nokia 110 4G Pro TA-1559 - Hàng Chính Hãng,690.000₫,https://tiki.vn/dien-thoai-nokia-110-4g-pro-ta-1559-hang-chinh-hang-p270471101.html?spid=270471105,1,-3%,Đã bán 94,Nokia
1,Điện Thoại Nokia 105 4G Pro TA-1538 - Hàng Chính Hãng,650.000₫,https://tiki.vn/dien-thoai-nokia-105-4g-pro-ta-1538-hang-chinh-hang-p270471106.html?spid=270471110,2,-4%,Đã bán 158,Nokia
2,Điện thoại Nokia 105 4G - Hàng chính hãng,690.000₫,https://tiki.vn/dien-thoai-nokia-105-4g-hang-chinh-hang-p125753291.html?spid=125753292,3,-3%,Đã bán 18,Nokia
3,Điện thoại Nokia 215 4G - Hàng chính hãng,930.000₫,https://tiki.vn/dien-thoai-nokia-215-4g-hang-chinh-hang-p125753599.html?spid=125753603,4,-10%,Đã bán 20,Nokia
4,Điện Thoại Nokia 8210 4G - Hàng Chính Hãng,1.539.000₫,https://tiki.vn/dien-thoai-nokia-8210-4g-hang-chinh-hang-p212924392.html?spid=212924394,5,-1%,Đã bán 18,Nokia
5,Điện thoại Nokia 8210 4G - Hàng chính hãng - pin lâu - Bàn phím nút giá rẻ chỉ có tại Long Tâm Store,1.431.000₫,https://tiki.vn/dien-thoai-nokia-8210-4g-hang-chinh-hang-pin-lau-ban-phim-nut-gia-re-chi-co-tai-long-tam-store-p252073151.html?spid=253069735,6,-3%,Đã bán 3,Nokia
6,Điện thoại Nokia 105 4G - chính hãng - Đen,690.000₫,https://tiki.vn/dien-thoai-nokia-105-4g-hang-chinh-hang-den-p171685825.html?spid=171685826,7,-3%,Đã bán 9,Nokia
7,Nokia 5710 XpressAudio | Hàng Chính Hãng,1.504.899₫,https://tiki.vn/nokia-5710-xpressaudio-gia-re-chinh-hang-gia-tot-p252072952.html?spid=252072956,8,-5%,Đã bán 2,Nokia
8,Điện thoại Nokia 110 4G - Hàng chính hãng,740.000₫,https://tiki.vn/dien-thoai-nokia-110-4g-hang-chinh-hang-p125753416.html?spid=125753418,9,-23%,Đã bán 21,Nokia
9,Điện Thoại Nokia 110 4G Pro - Hàng Chính Hãng,689.000₫,https://tiki.vn/dien-thoai-nokia-110-4g-pro-hang-chinh-hang-p271234313.html?spid=271234322,10,-5%,Đã bán 1,Nokia
10,Điện Thoại Nokia 105 4G Pro - Hàng Chính Hãng,659.000₫,https://tiki.vn/dien-thoai-nokia-105-4g-pro-hang-chinh-hang-p271234577.html?spid=271234579,11,-13%,,Nokia
11,điện thoại Nokia 110 4G Pro -Kiểu dáng bền bỉ - hiển thị rõ nét- Hàng chính hãng,711.550₫,https://tiki.vn/dien-thoai-nokia-110-4g-pro-kieu-dang-ben-bi-hien-thi-ro-net-hang-chinh-hang-p271389593.html?spid=271389595,12,-7%,,Nokia
12,Điện Thoại Nokia 110 4G - Hàng Chính Hãng,689.000₫,https://tiki.vn/dien-thoai-nokia-110-4g-hang-chinh-hang-p191089547.html?spid=232582538,13,-5%,Đã bán 5,Nokia
13,Điện thoại di động Nokia 105 4G Pro - Hàng chính hãng,664.050₫,https://tiki.vn/dien-thoai-di-dong-nokia-105-4g-pro-chinh-hang-gia-re-p271368354.html?spid=271368356,14,-10%,,Nokia
14,Điện thoại Nokia 105 4G - Hàng chính hãng,669.000₫,https://tiki.vn/dien-thoai-nokia-105-4g-hang-chinh-hang-p168526284.html?spid=168526304,15,,Đã bán 20,Nokia
15,Điện thoại Nokia 110 4G Pro - Hàng chính hãng,710.000₫,https://tiki.vn/dien-thoai-nokia-110-4g-pro-hang-chinh-hang-p270504848.html?spid=270504852,16,,,Nokia
16,Điện Thoại Nokia 110 4G - Hàng Chính Hãng,809.000₫,https://tiki.vn/dien-thoai-nokia-110-4g-hang-chinh-hang-p146365404.html?spid=146365408,17,,Đã bán 58,Nokia
17,Điện thoại Nokia 105 4G Pro - Hàng chính hãng,680.000₫,https://tiki.vn/dien-thoai-nokia-105-4g-pro-hang-chinh-hang-p270512785.html?spid=270512789,18,,Đã bán 2,Nokia
18,Điện thoại di động Nokia 105 4G - Hàng chính hãng,750.500₫,https://tiki.vn/dien-thoai-di-dong-nokia-105-4g-hang-chinh-hang-p253376519.html?spid=253376521,19,,Đã bán 1,Nokia
19,Điện thoại Nokia N110 4G - Hàng chính hãng,809.100₫,https://tiki.vn/dien-thoai-nokia-110-4g-chinh-hang-gia-re-p252072977.html?spid=252072984,20,,,Nokia
0,Điện thoại di động Vtel E10 4G – Hàng Chính Hãng,309.000₫,https://tiki.vn/dien-thoai-di-dong-vtel-e10-4g-hang-chinh-hang-p197907038.html?spid=197907042,1,-23%,Đã bán 138,Vtel
1,Điện thoại di động Vtel E10 4G – Hàng Chính Hãng,301.000₫,https://tiki.vn/dien-thoai-di-dong-vtel-e10-4g-hang-chinh-hang-p197905982.html?spid=197905988,2,-25%,Đã bán 98,Vtel
